>> Starting Model Training
Start Time: Wed Dec 17 22:47:31 2025

Current working directory: /home/bschen/Single-Image-Blind-Motion-Deblurring
>> Training Configuration:
    - model_name: MLWNet
    - model_dim: 32
    - patch_size: (256, 256)
    - overlap: (64, 64)
    - augmentation: True
    - rand_crop: True
    - num_epochs: 1300
    - batch_size: 8
    - learning_rate: 0.001
    - optimizer: AdamW
    - scheduler: CosineAnnealingLR
    - metric: SSIM
    - checkpoint: /home/bschen/Single-Image-Blind-Motion-Deblurring/outputs/experiments/realblur_exp_06/MLWNet_d32.pth
    - num_workers: 8

Model initialized with 24109164 parameters
Training on device: cuda

No checkpoint provided, starting training from scratch.

Epoch [ 30/1300] | Train Loss: -58.141340 | Val Loss: 9.600005 | Val PSNR: 1.226874 | Val SSIM: 0.008351 | Learning Rate: 0.000999 | Epoch Time: 193.539908 
Epoch [ 31/1300] | Train Loss: -49.397916 | Val Loss: 9.600005 | Val PSNR: 1.226874 | Val SSIM: 0.008351 | Learning Rate: 0.000999 | Epoch Time: 68.470098 
Epoch [ 32/1300] | Train Loss: -59.067809 | Val Loss: 9.600005 | Val PSNR: 1.226874 | Val SSIM: 0.008351 | Learning Rate: 0.000998 | Epoch Time: 68.298405 
Epoch [ 33/1300] | Train Loss: -59.108484 | Val Loss: 9.600005 | Val PSNR: 1.226874 | Val SSIM: 0.008351 | Learning Rate: 0.000998 | Epoch Time: 68.318223 
Epoch [ 34/1300] | Train Loss: -59.016924 | Val Loss: 9.600005 | Val PSNR: 1.226874 | Val SSIM: 0.008351 | Learning Rate: 0.000998 | Epoch Time: 68.301383 
Epoch [ 35/1300] | Train Loss: -59.459696 | Val Loss: 9.600005 | Val PSNR: 1.226874 | Val SSIM: 0.008351 | Learning Rate: 0.000998 | Epoch Time: 68.560474 
Epoch [ 36/1300] | Train Loss: -59.564298 | Val Loss: 9.600005 | Val PSNR: 1.226874 | Val SSIM: 0.008351 | Learning Rate: 0.000998 | Epoch Time: 68.367729 
Epoch [ 37/1300] | Train Loss: -59.645987 | Val Loss: 9.600005 | Val PSNR: 1.226874 | Val SSIM: 0.008351 | Learning Rate: 0.000998 | Epoch Time: 68.255341 
Epoch [ 38/1300] | Train Loss: -55.400568 | Val Loss: 9.600005 | Val PSNR: 1.226874 | Val SSIM: 0.008351 | Learning Rate: 0.000998 | Epoch Time: 68.544063 
Epoch [ 39/1300] | Train Loss: -59.067135 | Val Loss: 9.600005 | Val PSNR: 1.226874 | Val SSIM: 0.008351 | Learning Rate: 0.000998 | Epoch Time: 68.197876 
Epoch [ 40/1300] | Train Loss: -59.443165 | Val Loss: 9.600005 | Val PSNR: 1.226874 | Val SSIM: 0.008351 | Learning Rate: 0.000998 | Epoch Time: 68.660956 
Epoch [ 41/1300] | Train Loss: -59.460653 | Val Loss: 9.600005 | Val PSNR: 1.226874 | Val SSIM: 0.008351 | Learning Rate: 0.000997 | Epoch Time: 68.258338 
Epoch [ 42/1300] | Train Loss: -59.769517 | Val Loss: 9.600005 | Val PSNR: 1.226874 | Val SSIM: 0.008351 | Learning Rate: 0.000997 | Epoch Time: 68.249887 
Epoch [ 43/1300] | Train Loss: -54.382802 | Val Loss: 9.600005 | Val PSNR: 1.226874 | Val SSIM: 0.008351 | Learning Rate: 0.000997 | Epoch Time: 68.263774 
