Epoch,Train Loss,Val Loss,Val PSNR,Val SSIM,Learning Rate,Epoch Time
1,-54.700558535274894,-54.539342996513874,28.75610566206169,0.824916196785489,0.001,1767.927479505539
2,-56.453346593256896,-54.889599943604026,29.142979418012278,0.8377334172897583,0.001,1761.730642080307
3,-57.578798627713816,-56.26610954348635,29.512578345809796,0.8501466322924925,0.001,1761.0244600772858
4,-57.15357417029989,-54.08239522078614,29.492889696581454,0.8472276713908877,0.001,1762.2651584148407
5,-57.32927093168343,-54.06458984835737,28.81852301854153,0.8505863341240205,0.001,1761.695433139801
6,-58.198668950602624,-57.28922517678377,30.014486468131466,0.8666135546688641,0.001,1762.5792434215546
7,-55.959699296837094,-51.7458276167333,30.032269382559655,0.8651004479366525,0.001,1762.3843648433685
8,-57.077131849835055,-50.95478691331875,30.00970012046081,0.8662870264847027,0.001,1762.7019724845886
9,-57.42990364141449,-56.82926962009882,30.175576810390776,0.8689558101704425,0.001,1762.8665194511414
10,-58.99281258301382,-56.759993826103084,30.125913104638958,0.8685069709692093,0.001,1761.5836780071259
11,-58.954336784189216,-56.6206292075255,30.087178540269093,0.8629753358397061,0.001,1761.234183549881
12,-58.59302135624741,-56.97921657194876,29.81145911649879,0.857739435445113,0.001,1761.936595916748
13,-58.818666832887345,-57.02618889708166,30.32801876619543,0.8733300332601716,0.001,1762.4731316566467
14,-59.225460165926215,-54.5048035531527,30.13415568267245,0.8691945291294594,0.001,1760.7785382270813
15,-58.42771763373969,-56.56111390753287,30.470757902647613,0.8746732107514325,0.001,1763.6167287826538
16,-59.57100678035844,-57.45579613738121,30.251848086562777,0.8738966365550587,0.001,1762.4780745506287
17,-58.9627769651281,-57.2329180588021,30.47569978280978,0.875503944114455,0.001,1762.8707702159882
18,-59.68745266839251,-57.89620119077993,30.417609934263275,0.8762937705134882,0.001,1762.5418627262115
19,-60.13347464536593,-58.09515768877103,30.450863691029774,0.874039966258928,0.001,1762.4309451580048
20,-58.856977453125225,-57.34497773325851,30.473174287110762,0.8781756456910133,0.001,1761.9132735729218
21,-59.82894180378043,-54.47168063144956,30.46304011928742,0.8759924446821632,0.001,1763.2471904754639
22,-60.1507043743971,-56.312746338851866,30.35364881660715,0.8764967195319935,0.001,1762.038813829422
23,-59.039837079520176,-52.74533909193221,30.341072048186785,0.8764901642982864,0.001,1763.1814560890198
24,-61.15414819671728,-58.44534789918908,30.6050338008813,0.8786844456964695,0.001,1762.5089094638824
25,-57.62974463269202,-54.9064661895178,30.652445201515466,0.879696127348055,0.001,1763.7043685913086
26,-58.17932937162997,-58.032943521798295,30.490324472509375,0.8777262995459786,0.001,1763.4180369377136
27,-60.77960272885942,-58.15131464637706,30.540984854348757,0.8745822657854438,0.001,1763.4089732170105
28,-60.81317034219414,-58.1286364530939,30.644638183218568,0.8789001897512624,0.001,1761.127120256424
29,-59.3113249333505,-57.769518677188294,30.695663806673203,0.8806421449215888,0.001,1763.2275476455688
30,-60.13549130276329,-54.15432642269588,30.467654422524493,0.878886317703835,0.001,1762.2243752479553
31,-60.10604516510763,-56.581639529949356,30.77462377749314,0.8804350786009006,0.001,1762.4834623336792
32,-61.472847310452465,-47.647284692521815,28.487660056075512,0.8437208280215492,0.001,1763.079348564148
33,-60.883447583461454,-53.66446130183341,30.640009784520814,0.8801177435953642,0.001,1761.8716773986816
34,-61.75645019780961,-58.699600731897,30.64568860442484,0.8803901760966606,0.0005,1761.8112003803253
35,-63.214234807885916,-58.97301607739215,30.82206848753568,0.8853419993098918,0.0005,1763.213354587555
36,-63.35618694289179,-59.108387750642464,30.889766352919715,0.8845541624256523,0.0005,1762.099855184555
37,-63.47605935432227,-59.064617210360524,30.854709856910837,0.8872907080960036,0.0005,1763.226303577423
38,-63.554712431553895,-59.00859188346022,30.84720506448378,0.8850407270019683,0.0005,1762.2247276306152
39,-63.61235073946333,-59.01149094415419,30.763692827183014,0.8818822172532648,0.0005,1764.3187425136566
40,-63.631559454170294,-58.95417247087594,30.791200928318023,0.8864454182982107,0.0005,1762.8760867118835
41,-63.72897697852735,-59.12965748927611,30.874616502925736,0.8852319154950016,0.0005,1762.31236410141
42,-63.79387516186173,-59.35612289710513,30.970590453469896,0.8877459883786115,0.0005,1763.5160429477692
43,-63.84628980371659,-59.106606249417034,30.887320772881647,0.8868062427225646,0.0005,1763.6519193649292
44,-63.91522914567737,-59.138289826596484,30.86390059397202,0.8867901225561441,0.0005,1762.4080119132996
45,-63.924114532836136,-59.1613100066413,30.943428342336343,0.887038262101317,0.0005,1763.5182313919067
46,-64.01972268375074,-58.99613638689208,30.79079055309644,0.8848833256499677,0.0005,1935.3538839817047
47,-64.02847119301414,-59.23710335092482,30.89325531323286,0.8881805306115464,0.0005,1762.8273248672485
48,-64.09082192750355,-59.20674430995795,30.90254885526365,0.8865693831065433,0.0005,1762.8155431747437
