>> Starting Model Training
Start Time: Fri Dec 19 02:50:48 2025

Current working directory: /home/bschen/Single-Image-Blind-Motion-Deblurring
>> Training Configuration:
    - model_name: Network
    - model_dim: 32
    - patch_size: (256, 256)
    - overlap: (64, 64)
    - augmentation: True
    - rand_crop: True
    - num_epochs: 1300
    - batch_size: 8
    - learning_rate: 0.001
    - simo_loss: True
    - edge_loss: True
    - optimizer: AdamW
    - scheduler: CosineAnnealingLR
    - metric: SSIM
    - checkpoint: /home/bschen/Single-Image-Blind-Motion-Deblurring/outputs/experiments/realblur_exp_07/Network_d32.pth
    - num_workers: 8

Model initialized with 20342636 parameters
Training on device: cuda

No checkpoint provided, starting training from scratch.

Epoch [ 30/1300] | Train Loss: -58.617748 | Val Loss: -56.331905 | Val PSNR: 29.378093 | Val SSIM: 0.847516 | Learning Rate: 0.000999 | Epoch Time: 184.788629 
>> Best model saved with SSIM: 0.84752

Epoch [ 31/1300] | Train Loss: -58.911129 | Val Loss: -56.331905 | Val PSNR: 29.378093 | Val SSIM: 0.847516 | Learning Rate: 0.000999 | Epoch Time: 66.873417 
Epoch [ 32/1300] | Train Loss: -58.966249 | Val Loss: -56.331905 | Val PSNR: 29.378093 | Val SSIM: 0.847516 | Learning Rate: 0.000998 | Epoch Time: 66.978421 
Epoch [ 33/1300] | Train Loss: -59.167624 | Val Loss: -56.331905 | Val PSNR: 29.378093 | Val SSIM: 0.847516 | Learning Rate: 0.000998 | Epoch Time: 66.969912 
Epoch [ 34/1300] | Train Loss: -59.175854 | Val Loss: -56.331905 | Val PSNR: 29.378093 | Val SSIM: 0.847516 | Learning Rate: 0.000998 | Epoch Time: 66.886418 
Epoch [ 35/1300] | Train Loss: -59.067544 | Val Loss: -56.331905 | Val PSNR: 29.378093 | Val SSIM: 0.847516 | Learning Rate: 0.000998 | Epoch Time: 67.392942 
Epoch [ 36/1300] | Train Loss: -59.263072 | Val Loss: -56.331905 | Val PSNR: 29.378093 | Val SSIM: 0.847516 | Learning Rate: 0.000998 | Epoch Time: 66.955977 
Epoch [ 37/1300] | Train Loss: -59.252036 | Val Loss: -56.331905 | Val PSNR: 29.378093 | Val SSIM: 0.847516 | Learning Rate: 0.000998 | Epoch Time: 66.989969 
Epoch [ 38/1300] | Train Loss: -59.365993 | Val Loss: -56.331905 | Val PSNR: 29.378093 | Val SSIM: 0.847516 | Learning Rate: 0.000998 | Epoch Time: 67.051264 
Epoch [ 39/1300] | Train Loss: -59.189250 | Val Loss: -56.331905 | Val PSNR: 29.378093 | Val SSIM: 0.847516 | Learning Rate: 0.000998 | Epoch Time: 67.021703 
Epoch [ 40/1300] | Train Loss: -59.623548 | Val Loss: -56.331905 | Val PSNR: 29.378093 | Val SSIM: 0.847516 | Learning Rate: 0.000998 | Epoch Time: 67.017027 
Epoch [ 41/1300] | Train Loss: -59.445104 | Val Loss: -56.331905 | Val PSNR: 29.378093 | Val SSIM: 0.847516 | Learning Rate: 0.000997 | Epoch Time: 66.953831 
Epoch [ 42/1300] | Train Loss: -59.396810 | Val Loss: -56.331905 | Val PSNR: 29.378093 | Val SSIM: 0.847516 | Learning Rate: 0.000997 | Epoch Time: 66.963030 
Epoch [ 43/1300] | Train Loss: -59.567734 | Val Loss: -56.331905 | Val PSNR: 29.378093 | Val SSIM: 0.847516 | Learning Rate: 0.000997 | Epoch Time: 67.045336 
Epoch [ 44/1300] | Train Loss: -59.563483 | Val Loss: -56.331905 | Val PSNR: 29.378093 | Val SSIM: 0.847516 | Learning Rate: 0.000997 | Epoch Time: 66.947601 
Epoch [ 45/1300] | Train Loss: -59.270122 | Val Loss: -56.847481 | Val PSNR: 29.762188 | Val SSIM: 0.854285 | Learning Rate: 0.000997 | Epoch Time: 185.204910 
>> Best model saved with SSIM: 0.85429

Epoch [ 46/1300] | Train Loss: -59.744734 | Val Loss: -56.847481 | Val PSNR: 29.762188 | Val SSIM: 0.854285 | Learning Rate: 0.000997 | Epoch Time: 66.939406 
Epoch [ 47/1300] | Train Loss: -59.722022 | Val Loss: -56.847481 | Val PSNR: 29.762188 | Val SSIM: 0.854285 | Learning Rate: 0.000997 | Epoch Time: 66.936256 
Epoch [ 48/1300] | Train Loss: -59.958117 | Val Loss: -56.847481 | Val PSNR: 29.762188 | Val SSIM: 0.854285 | Learning Rate: 0.000997 | Epoch Time: 66.917537 
Epoch [ 49/1300] | Train Loss: -59.702273 | Val Loss: -56.847481 | Val PSNR: 29.762188 | Val SSIM: 0.854285 | Learning Rate: 0.000996 | Epoch Time: 67.017008 
Epoch [ 50/1300] | Train Loss: -59.523504 | Val Loss: -56.847481 | Val PSNR: 29.762188 | Val SSIM: 0.854285 | Learning Rate: 0.000996 | Epoch Time: 66.976768 
Epoch [ 51/1300] | Train Loss: -59.946398 | Val Loss: -56.847481 | Val PSNR: 29.762188 | Val SSIM: 0.854285 | Learning Rate: 0.000996 | Epoch Time: 66.959575 
Epoch [ 52/1300] | Train Loss: -59.918354 | Val Loss: -56.847481 | Val PSNR: 29.762188 | Val SSIM: 0.854285 | Learning Rate: 0.000996 | Epoch Time: 67.022907 
Epoch [ 53/1300] | Train Loss: -60.100291 | Val Loss: -56.847481 | Val PSNR: 29.762188 | Val SSIM: 0.854285 | Learning Rate: 0.000996 | Epoch Time: 67.036730 
Epoch [ 54/1300] | Train Loss: -60.104401 | Val Loss: -56.847481 | Val PSNR: 29.762188 | Val SSIM: 0.854285 | Learning Rate: 0.000996 | Epoch Time: 66.974946 
Epoch [ 55/1300] | Train Loss: -60.134703 | Val Loss: -56.847481 | Val PSNR: 29.762188 | Val SSIM: 0.854285 | Learning Rate: 0.000995 | Epoch Time: 66.988755 
Epoch [ 56/1300] | Train Loss: -59.954515 | Val Loss: -56.847481 | Val PSNR: 29.762188 | Val SSIM: 0.854285 | Learning Rate: 0.000995 | Epoch Time: 67.054891 
Epoch [ 57/1300] | Train Loss: -60.091383 | Val Loss: -56.847481 | Val PSNR: 29.762188 | Val SSIM: 0.854285 | Learning Rate: 0.000995 | Epoch Time: 66.955678 
Epoch [ 58/1300] | Train Loss: -60.135721 | Val Loss: -56.847481 | Val PSNR: 29.762188 | Val SSIM: 0.854285 | Learning Rate: 0.000995 | Epoch Time: 67.005047 
Epoch [ 59/1300] | Train Loss: -60.120350 | Val Loss: -56.847481 | Val PSNR: 29.762188 | Val SSIM: 0.854285 | Learning Rate: 0.000995 | Epoch Time: 66.982984 
Epoch [ 60/1300] | Train Loss: -59.976360 | Val Loss: -57.385153 | Val PSNR: 29.955828 | Val SSIM: 0.860873 | Learning Rate: 0.000995 | Epoch Time: 185.167402 
>> Best model saved with SSIM: 0.86087

Epoch [ 61/1300] | Train Loss: -60.345232 | Val Loss: -57.385153 | Val PSNR: 29.955828 | Val SSIM: 0.860873 | Learning Rate: 0.000994 | Epoch Time: 66.925602 
Epoch [ 62/1300] | Train Loss: -60.051859 | Val Loss: -57.385153 | Val PSNR: 29.955828 | Val SSIM: 0.860873 | Learning Rate: 0.000994 | Epoch Time: 67.027037 
Epoch [ 63/1300] | Train Loss: -60.172706 | Val Loss: -57.385153 | Val PSNR: 29.955828 | Val SSIM: 0.860873 | Learning Rate: 0.000994 | Epoch Time: 66.973857 
Epoch [ 64/1300] | Train Loss: -60.392736 | Val Loss: -57.385153 | Val PSNR: 29.955828 | Val SSIM: 0.860873 | Learning Rate: 0.000994 | Epoch Time: 67.004178 
Epoch [ 65/1300] | Train Loss: -60.470663 | Val Loss: -57.385153 | Val PSNR: 29.955828 | Val SSIM: 0.860873 | Learning Rate: 0.000994 | Epoch Time: 67.037296 
Epoch [ 66/1300] | Train Loss: -60.400717 | Val Loss: -57.385153 | Val PSNR: 29.955828 | Val SSIM: 0.860873 | Learning Rate: 0.000993 | Epoch Time: 66.981957 
Epoch [ 67/1300] | Train Loss: -60.533817 | Val Loss: -57.385153 | Val PSNR: 29.955828 | Val SSIM: 0.860873 | Learning Rate: 0.000993 | Epoch Time: 66.957042 
Epoch [ 68/1300] | Train Loss: -60.285858 | Val Loss: -57.385153 | Val PSNR: 29.955828 | Val SSIM: 0.860873 | Learning Rate: 0.000993 | Epoch Time: 67.004124 
Epoch [ 69/1300] | Train Loss: -60.453665 | Val Loss: -57.385153 | Val PSNR: 29.955828 | Val SSIM: 0.860873 | Learning Rate: 0.000993 | Epoch Time: 67.450639 
Epoch [ 70/1300] | Train Loss: -60.438062 | Val Loss: -57.385153 | Val PSNR: 29.955828 | Val SSIM: 0.860873 | Learning Rate: 0.000993 | Epoch Time: 66.950789 
